Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Estonia,Aircraft Operator Account,SMARTLYNX AIRLINES ESTONIA OU,Lennujaama 13,Tallinn,,,,,,,,,,,,,19778,19778,19778,19778,,,,,,,,6319,11154,11483,11894,15149,,,,,,,,,,,,,6319,22637,11894,15149,,,,
Estonia,Operator Holding Account,TEST OU,Tallinn,Tallinn,,,,,,,,,,,,,,,,,0,,,,Not Reported,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Operator Holding Account,TOOTSI TURVAS AS,Tootsi Turvas AS,Pärnumaa,67282,69300,71379,19241,19241,19241,23347,21294,,,,,,,,,29488,19241,34513,17695,12926,13902,7465,0,Not Reported,Not Reported,Not Reported,,,,,,29488,,53754,17695,12926,13902,7465,,,,,,,,,
Estonia,Operator Holding Account,VESTA TERMINAL TALLINN OU,Õli tn.3,Maardu,,,,22879,22879,22879,1335,12107,14075,12596,11157,4881,4205,3550,2917,2308,,22879,14259,6998,6389,10008,10132,11530,9128,6785,5954,3291,,,,,,22879,14259,13996,,9399,10132,11530,9128,6785,5954,3291,,,,
Estonia,Operator Holding Account,VKG OIL AS,VKG Oil AS,Kohtla-Järve,132875,132875,147172,69513,69513,69513,42833,56173,80323,78903,77468,76018,74555,73079,71585,70087,70298,69513,53129,54905,39198,49996,52257,49172,43058,43971,46541,34842,,,,,70298,69513,53129,54905,39198,49996,52257,49172,43058,43971,46541,34842,,,,
Estonia,Operator Holding Account,VKG OIL AS,Järveküla tee 14,Kohtla-Järve,,,,0,0,0,200000,250000,174240,171214,168152,165058,161930,158773,155576,152367,,,,,,,200185,163425,155160,278674,428636,565541,,,,,,,,,,55720,144465,163425,155160,278674,428636,565541,,,,
Estonia,Operator Holding Account,VKG SOOJUS AS,Ritsika vkt 10,Kohtla-Järve,259820,276167,293601,185973,185973,185973,156877,171425,99444,81674,24886,16107,8993,3465,0,0,190257,187773,183832,157763,146133,162792,122132,111768,3543,483,110,966,,,,,190257,187773,183832,157763,146133,162792,122132,111768,3543,483,110,966,,,,
Estonia,Operator Holding Account,VOPAK E.O.S. AS,Pirita tee 102,Tallinn,26753,27217,27694,11669,11669,11669,9313,10491,9060,8107,7181,6283,2707,2285,1878,1486,16716,11669,12428,7344,5356,9434,10427,11706,12906,8920,6644,5844,,,,,16716,11669,12428,7344,5356,9434,10427,11706,12906,8920,6644,5844,,,,
Estonia,Operator Holding Account,VOPAK E.O.S. AS,Pirita tee 102,Tallinn,,,,29508,29508,29508,30636,45497,22000,19689,17439,15258,6572,5550,4560,3607,,29508,27909,26819,27316,30734,26610,24937,23589,12876,11148,7937,,,,,,29508,27909,26819,27316,30734,26610,24937,23589,12876,11148,7937,,,,
Estonia,Operator Holding Account,VOPAK E.O.S. AS,Pirita tee 102,Tallinn,,,,16905,16905,16905,24327,20616,17174,15369,13613,11910,2565,2166,1780,1408,,16905,18803,22058,20711,24604,26095,21168,17873,10850,10141,3364,,,,,,16905,18803,22058,20711,24604,26095,21168,17873,10850,10141,3364,,,,
Estonia,Operator Holding Account,WIENERBERGER AS,Kordoni 1,Aseri,,,,3496,3496,3496,10089,9831,11903,11696,5744,5638,5531,5423,5314,5205,,3496,12878,10226,2750,4572,7650,9518,10905,5292,5204,5972,,,,,,3496,12878,10226,2750,4572,7650,9518,10905,5292,5204,5972,,,,
Estonia,Operator Holding Account,WIENERBERGER AS,Wienerberger AS,Aseri,9129,11653,13208,6077,6077,6077,0,0,,,,,,,,,6667,6077,3126,2365,21,24,Not Reported,,,,,,,,,,6667,6077,3126,2365,21,24,,,,,,,,,,
