Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Czech Republic,Operator Holding Account,"KOMTERM CECHY, S.R.O.",Bělehradská 55/15,Praha 4,32571,32571,32571,23614,23614,23614,23614,23614,7367,6797,6280,1630,0,0,0,0,23614,16816,13644,12421,7018,3048,3725,1857,4637,6867,157,0,,,,,,40430,13644,12421,7018,3048,3725,1857,4637,6867,157,,,,,
Czech Republic,Operator Holding Account,"KOMTERM MORAVA, S.R.O.",Traťová 653/3,Brno - Bohunice,142774,142774,142774,122172,122172,122172,122172,122172,62561,53136,42311,37170,32719,28931,25768,24092,125803,115455,103380,100852,93407,116411,99007,81337,75623,34320,33776,33943,,,,,,241258,103380,100852,93407,116411,99007,81337,75623,34320,33769,33950,,,,
Czech Republic,Operator Holding Account,"KONGRESOVE CENTRUM PRAHA, A.S.",5. května 65,Praha 4,4800,4800,4800,5284,5284,5284,5284,5284,3453,3090,2738,2395,2063,0,0,0,5101,4775,4171,4228,4370,4803,3962,4218,4150,3443,3458,2993,,,,,301,9575,4171,4228,4370,4803,3962,4218,4150,3443,3458,2993,,,,
Czech Republic,Operator Holding Account,"KOSTELECKE UZENINY, A.S.",Kostelec 60,Kostelec,7960,7960,7960,6215,6215,6215,6215,6215,,,,,,,,,6422,5195,4444,4740,2466,28,12,8,,,,,,,,,,11617,4444,4740,2466,28,12,8,,,,,,,,
Czech Republic,Operator Holding Account,"KOTOUČ ŠTRAMBERK, spol. s r. o.",Libotín 500,Štramberk,155665,155665,155665,124427,124427,124427,124427,124427,116218,114199,112157,110093,108007,105901,103769,101629,121203,124508,165015,151839,110888,107073,119230,112727,101727,111302,128165,86201,,,,,,245711,165015,151839,110888,107073,119230,112727,101727,111302,128165,86201,,,,
Czech Republic,Operator Holding Account,"KOVOBRASIV Mníšek, spol. s r. o.",Mníšek pod Brdy 905,okres Praha-západ,4000,4000,4000,4029,4029,4029,4029,4029,2698,1079,544,534,0,0,0,0,3673,3857,3930,3660,2068,2946,2763,2497,488,45,4,0,,,,,,7530,3930,3660,2068,2946,2763,2497,488,45,4,,,,,
Czech Republic,Operator Holding Account,"KRALOVOPOLSKA, A.S.",Křižíkova 2989/68a,Brno - Královo Pole,5084,5084,5084,1711,1711,1711,1711,1711,,,,,,,,,1711,1322,695,664,675,966,865,698,Excluded,,,,,,,,627,2406,695,664,675,966,865,698,,,,,,,,
Czech Republic,Operator Holding Account,"KRKONOSSKE PAPIRNY, A.S.",Nádražní 266,Hostinné,16079,16079,16079,3611,0,0,0,0,,,,,,,,,3611,1201,0,0,Not Reported,Not Reported,,,,,,,,,,,2932,1880,,,,,,,,,,,,,,
Czech Republic,Operator Holding Account,"KROMERIZSKA NEMOCNICE, A.S.",Havlíčkova 660,Kroměříž,6057,6057,6057,6086,6086,6086,6086,6086,4234,3789,0,0,0,0,0,0,5905,5471,5477,5357,5191,5846,5471,5354,4654,1742,,,,,,,,11376,5477,5357,5191,5846,5471,5354,4654,1742,,,,,,
Czech Republic,Operator Holding Account,"KRONOSPAN CR,SPOL. S R.O.",Na hranici 6,Jihlava,33403,33403,33403,22028,22028,25887,25887,25887,30322,29795,19228,16823,14493,12237,10055,7954,18293,22028,13178,2867,1141,3047,2035,2824,6632,7842,19131,15947,,,,,,40321,13178,2867,1141,3047,2035,2824,6632,7842,19131,15947,,,,
