Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Bulgaria,Operator Holding Account,BULGARTRANSGAZ EAD,"str.Pancho Vladigerov,66",Sofia,,,,105082,107113,92311,92312,96246,74552,66720,59096,51705,22289,18820,15464,12234,,,104354,105082,36531,65195,88387,69985,90176,86180,67266,41624,,,,,,,,,141613,65195,88387,69985,90176,86180,67266,41624,,,,
Bulgaria,Operator Holding Account,Bulgartransgaz EAD-KS Petrich,"str.PanchoVladigerov,66",Sofia,,,,31385,40656,35038,35038,36531,30933,27682,12307,10768,18481,15605,12822,10143,,,39885,31385,26587,26689,37908,30558,28472,13067,14665,21444,,,,,,,,,57972,26689,37908,30558,28472,13067,14665,21444,,,,
Bulgaria,Operator Holding Account,Bulkom plus LTD,"str.Kniaz Bogoridi ,8",Plovdiv,,,,3936,6036,5202,5202,0,,,,,,,,,,,5922,3936,80,219,0,Not Reported,Not Reported,Not Reported,,,,,,,,,,,4016,219,,,,,,,,,,
Bulgaria,Operator Holding Account,Calcit J.S.C,Promichlena zona -Sever,Asenovgrad,,,,112372,114544,98715,98716,102923,89606,88019,44900,84795,83161,81511,79843,78168,,,106343,112372,93167,100371,100075,73314,50013,43806,72825,97463,,,,,,,,,205539,100371,100371,73018,50013,43806,72825,97463,,,,
Bulgaria,Operator Holding Account,CASTING FORGING MACHINERY COMPLEX EOOD,Industrialna zona,Radomir,,,,25366,30147,25981,25981,27088,14199,7845,7705,13450,13195,12938,12677,12416,,,29575,25366,10737,7901,12734,8511,5692,5582,11885,12981,,,,,,,,,36103,7901,12734,8511,5692,5582,11885,12981,,,,
Bulgaria,Operator Holding Account,CONTOURGLOBAL MARITSA EAST 3 AD,"bul Sitnyakovo 48, fl.9",Sofia,,,,5166302,7021542,6051215,6051270,6309172,1884763,1615511,1346259,1077007,,,,,,,4804394,5166302,4949791,6086209,6482633,4547624,3481176,4113603,5759680,4691756,,,,,,,,,10116093,6086209,6482633,4547624,3481176,4113603,5759680,4691756,,,,
Bulgaria,Operator Holding Account,Darvoobrabotbane - VT AD- Veliko Tarnovo,q.Cholakovtzi,Veliko Tarnovo,,,,,,,0,,,,,,,,,,,,0,0,Not Reported,Not Reported,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Operator Holding Account,DEVEN AD,Promichlena zona-UG,Devnia,,,,1508045,1653364,1527070,1849049,1927854,130130,116454,103166,90299,77835,65775,54106,42855,,,1622014,1508045,925045,1465565,1596833,1612604,1526718,1685183,1455781,1351671,,,,,,,,,2433090,1465565,1596833,1612604,1526718,1685183,1455781,1351671,,,,
Bulgaria,Operator Holding Account,DEVNYA CEMENT AD,Promichlena zona,Devnia,,,,1519390,1763766,1520026,1520040,1584823,1068997,1050430,1031644,1012662,993476,974103,954489,934806,,,1730322,1519390,658270,498045,431397,821637,835107,770448,785655,932143,,,,,,,,,2177660,498045,431397,821637,835107,770448,785655,932143,,,,
Bulgaria,Operator Holding Account,DRUJBA STAKLARSKI ZAVODI AD,str. Prof. Ivan Georgov 1,Sofia,,,,113366,115557,99588,99589,103833,81890,80467,79028,77574,76105,74621,73117,71610,,,103455,113366,90105,79847,117180,120810,116537,117884,116116,103203,,,,,,,,,203471,79847,117180,120735,116612,117884,116116,103203,,,,
Bulgaria,Operator Holding Account,Drujba staklarski zavodi AD,str.Professor Ivan Gergov 1,Sofia,,,,41821,42843,36923,36923,38497,31156,30615,30067,29514,28955,28390,27819,27245,,,42031,41821,37120,40462,39740,38942,30960,38080,39367,35290,,,,,,,,,78941,40462,39740,38942,30960,38080,39367,35290,,,,
Bulgaria,Operator Holding Account,DS SMITH BULGARIA AD,q.Glavinitza,Pazardjik,,,,24189,38871,62442,62442,65104,21949,21567,21182,20792,20398,20000,19597,19193,,,27152,24189,26004,27445,30369,31092,30395,30617,32221,35626,,,,,,,,,50193,27445,30369,31092,30395,30617,32221,35626,,,,
Bulgaria,Operator Holding Account,E MIROGLIO EAD,Industrialen,Yambol,,,,6605,8904,7673,7673,8000,5425,5331,5236,5139,5042,4944,4844,4744,,,3914,6605,6631,8116,8546,6963,7291,7337,8467,8343,,,,,,,,,13236,8116,8546,6963,7291,7337,8467,8343,,,,
Bulgaria,Operator Holding Account,E MIROGLIO EAD,Industrialen,Sliven,,,,6034,16894,14560,14560,15180,14134,13888,13639,13388,13135,12878,12619,12360,,,16574,6034,5262,5083,5276,4525,6395,3831,5270,6534,,,,,,,,,11296,5083,5276,4525,6395,3831,5270,6534,,,,
Bulgaria,Operator Holding Account,ELMAZ  Ltd,Bahovitza,Bahovitza,,,,2094,2545,2194,2194,2287,,,,,,,,,,,2497,2094,564,78,44,0,,,,,,,,,,,,,2658,78,44,,,,,,,,,
Bulgaria,Operator Holding Account,ET Mitko Jekov -D,Nova Nadejda,Haskovo,,,,1349,1923,1658,1658,1728,1830,1799,276,0,0,0,0,0,,,1887,1349,2078,1136,503,1696,1730,290,0,0,,,,,,,,,3427,1136,503,1696,1730,290,,,,,,
Bulgaria,Operator Holding Account,EVN- Bulgaria Toplofikaciy,bul.Vasil Levski 236,Plovdiv,,,,101716,142576,122873,122874,274442,73240,65542,58065,50822,43807,37019,30452,24120,,,118892,101716,102831,94841,82802,157798,148979,141181,147367,154804,,,,,,,,,204547,94841,82802,157798,148979,141181,147367,154804,,,,
Bulgaria,Operator Holding Account,EVN- Bulgaria Toplofikaciya,bul.Vasil Levski 236,Plovdiv,,,,11817,16390,14125,14125,14727,3218,2880,3351,2932,2526,2133,1752,1387,,,13667,11817,11528,15605,14010,3136,3531,2358,5209,3884,,,,,,,,,23345,15605,14010,3136,3531,2358,5209,3884,,,,
Bulgaria,Operator Holding Account,F  Asenova crepost  AD,"str.Ivan Vazov,2",Asenovgrad,,,,847,863,0,0,0,,,,,,,,,,,809,847,287,Not Reported,,,,,,,,,,,,,,,1134,,,,,,,,,,,
Bulgaria,Operator Holding Account,FAZERLES AD,Silistra,Silistra,,,,3149,12696,10941,10941,11408,,,,,,,,,,,12455,3149,1114,0,0,0,,,,,,,,,,,,,4263,,,,,,,,,,,
Bulgaria,Operator Holding Account,Gard invest Ltd,Oranjerien komplex,Rakovski,,,,6819,6951,5990,5990,6246,0,0,1973,863,1487,1255,1031,816,,,,6819,6515,5231,6222,558,1288,2185,1046,2132,,,,,,,,,13334,5231,6222,558,1288,2185,1046,2132,,,,
Bulgaria,Operator Holding Account,Greens LTD,"str.""Perunika"" 27",Parvomai,,,,,,,,,,,,,,,,,,,,,0,Not Reported,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Operator Holding Account,Greens LTD,"str.""Perunika"" 27",Parvomai,,,,0,4598,8079,8079,8423,3733,3341,2960,647,1116,942,774,612,,,,,4598,4991,6924,8218,3425,4400,714,2488,,,,,,,,,,9589,6924,8218,3425,4400,714,2488,,,,
Bulgaria,Operator Holding Account,Han Asparuh AD,"str.Ahinora,1",Isperih,,,,43656,46867,40390,40390,47983,44219,43450,42674,41888,41095,40293,39481,38668,,,45978,43656,34788,34810,39061,37683,38757,36797,38509,44951,,,,,,,,,78444,34810,39061,37683,38757,36797,38509,44951,,,,
Bulgaria,Operator Holding Account,Han Omurtag  AD,"ul. ""Slavianska"" 5",Sofia,,,,17954,19408,16726,24606,29779,17089,16792,16492,16188,15882,15572,15258,14944,,,19040,17954,15198,16060,23241,22450,26240,29468,29486,34080,,,,,,,,,33152,16060,23241,22450,26240,29468,29486,34080,,,,
Bulgaria,Operator Holding Account,HARMANLIYSKA KERAMIKA AD,"str.3 Mart,14",Harmanli,,,,5619,7094,6113,6113,0,,,,,,,,,,,6959,5619,231,0,0,,,,,,,,,,,,,,5850,,,,,,,,,,,
Bulgaria,Operator Holding Account,HOLCIM BULGARIA AD,obl.Montana,Beli Izvor,,,,486648,776236,685413,685419,714632,690735,678737,666599,654334,641937,629419,616745,604027,,,630453,486648,401864,308082,366055,365862,374987,383494,398398,373467,,,,,,,,,888512,308082,366055,365862,374987,383494,398398,373467,,,,
Bulgaria,Operator Holding Account,HOLCIM BULGARIA AD,obl.Montana,Beli Izvor,,,,220109,259660,223777,223779,0,,,,,,,,,,,230712,220109,55617,2600,0,,,,,,,,,,,,,,275726,2600,,,,,,,,,,
Bulgaria,Operator Holding Account,Hraninvest – Hranmashcomplect AD,"bul.Patriarh Evtimii,23",Stara Zagora,,,,,,,0,,,,,,,,,,,,553,0,Not Reported,Not Reported,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Operator Holding Account,IDEAL STANDARD VIDIMA AD,"str.Bial briag,1",Sevlievo,,,,25299,25466,21947,21947,22882,24444,24019,23589,23155,22717,22274,21825,21376,,,26700,25299,17938,22130,23012,22330,21338,20502,20851,21894,,,,,,,,,43237,22130,23012,22330,21338,20502,20851,21894,,,,
Bulgaria,Operator Holding Account,INDUSTRIAL SOLUTIONS BULGARIA Ltd.,"bul. ""Bylgaria"" 49B, vh.A",Sofia,,,,,,,,,6404,7866,7725,7583,7439,7294,7147,7000,,,,,,,,,9911,11983,13955,15355,,,,,,,,,,,,,9911,11983,13955,15355,,,,
Bulgaria,Operator Holding Account,Insa Oil LLC,"str.Mihail Dobromirov ,118",Rakovski,,,,5646,5755,4960,23406,24404,17786,17477,17165,16849,16530,16207,15881,15554,,,4872,5646,1449,3206,7929,7360,6423,8000,6708,7985,,,,,,,,,7095,3206,7929,7360,6423,8000,6708,7985,,,,
Bulgaria,Operator Holding Account,INTER PIPE AD,Sofia,Sofia,,,,5503,5609,4834,4834,5040,,,,,,,,,,,5231,5503,2825,1629,0,0,0,,,,,,,,,,,,8328,1629,,,,,,,,,,
Bulgaria,Operator Holding Account,Intertrust  Holding EAD,"str.Nikola Vaptzarov,53A",Sofia,,,,20955,22055,19007,19008,19818,,,,,,,,,,,21637,21016,20402,20158,18226,868,0,Not Reported,Not Reported,Not Reported,,,,,,,,,41418,20158,18226,,,,,,,,,
Bulgaria,Operator Holding Account,IVAN ATANASOV CHERVENIVANOV,"str.Baikal,15",Bania,,,,1116,3351,2888,2888,0,,,,,,,,,,,3287,1116,61,84,0,Not Reported,,,,,,,,,,,,,1177,84,,,,,,,,,,
Bulgaria,Operator Holding Account,IZIDA 1894 EOOD,str.Slavianska13,Sofia,,,,,,,0,,,,,,,,,,,,,0,Not Reported,Not Reported,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Operator Holding Account,KALIAKRA AD,"str.25 Septemvri,67",Dobrich,,,,36,339,293,293,0,,,,,,,,,,,333,36,17,0,0,,,,,,,,,,,,,,53,,,,,,,,,,,
Bulgaria,Operator Holding Account,Kamibo OOD TP Himenergo,"quartierNadejda,b.155,en.B,ap.71",Sofia,,,,,,,0,,,,,,,,,,,,,0,0,0,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Operator Holding Account,KCM SA Plovdiv,str.Asenovgradsko chosse,Plovdiv,,,,2849,4469,3851,3851,4015,247596,243296,238944,234548,230104,225617,221075,216516,,,4384,2849,4194,3323,4475,3893,236994,248272,225268,231907,,,,,,,,,7043,3323,4475,3893,236994,248272,225268,231907,,,,
Bulgaria,Operator Holding Account,KERAM INVEST AD,str.Samuilovsko chosse,Sliven,,,,19864,24070,20744,20744,21628,12648,12427,12205,11981,8080,7922,7763,7603,,,23614,19864,5890,5642,4460,9903,10140,10448,6958,6060,,,,,,,,,25754,5642,4460,9903,10140,10448,6958,6060,,,,
Bulgaria,Operator Holding Account,KERAMAT AD,str.Alexander Stamboliiski 77,Kaspichan,,,,8058,7696,6633,6633,6915,,,,,,,,,,,8131,8058,222,69,47,14,,,,,,,,,,,,,8280,69,47,14,,,,,,,,
